ph,salinity,moisture,tds,light,temperature,humidity,timestamp
420,868,33,1022,83,31.1,46,2023-09-27 3:28:24:010
423,867,38,1016,83,31.1,46,2023-09-27 3:28:28.100
420,868,34,1021,84,31.1,46,2023-09-27 3:28:32.100
421,865,35,1019,85,31.1,46,2023-09-27 3:28:36.100
421,865,35,1018,85,31.1,46,2023-09-27 3:28:40.100
420,867,32,1021,85,31.1,46,2023-09-27 3:28:44.100
420,868,32,1021,86,31.1,46,2023-09-27 3:28:48.100
420,867,35,1018,86,31.1,46,2023-09-27 3:28:52.100
420,869,34,1020,86,31.1,46,2023-09-27 3:28:56.100
424,867,37,1017,86,31.1,46,2023-09-27 3:29:00.100
419,869,33,1020,86,31.1,46,2023-09-27 3:29:04.100
422,866,35,1018,86,31.1,46,2023-09-27 3:29:08.100
420,871,33,1020,86,31.1,46,2023-09-27 3:29:12.100
420,865,37,1019,86,31.2,46,2023-09-27 3:29:16.100
421,867,35,1019,85,31.1,46,2023-09-27 3:29:20.100
419,868,32,1019,86,31.1,46,2023-09-27 3:29:24.100
422,867,37,1018,86,31.1,46,2023-09-27 3:29:28.100
420,870,34,1022,85,31.2,46,2023-09-27 3:29:32.100
422,867,37,1015,85,31.1,46,2023-09-27 3:29:36.100
421,867,37,1017,85,31.1,46,2023-09-27 3:29:40.100
419,870,34,1020,85,31.1,46,2023-09-27 3:29:44.100
420,868,36,1020,85,31.1,46,2023-09-27 3:29:48.100
421,865,37,1016,85,31.1,46,2023-09-27 3:29:52.100
420,865,35,1018,85,31.2,46,2023-09-27 3:29:56.100
420,867,35,1021,85,31.1,46,2023-09-27 3:30:00.100
422,867,37,1016,85,31.1,46,2023-09-27 3:30:04.100
421,867,33,1020,85,31.1,46,2023-09-27 3:30:08.100
422,865,35,1018,85,31.2,46,2023-09-27 3:30:12.100
421,866,36,1017,85,31.1,46,2023-09-27 3:30:16.100
421,866,35,1017,85,31.2,46,2023-09-27 3:30:20.100
420,868,34,1021,85,31.1,47,2023-09-27 3:30:24.100
422,868,34,1019,85,31.2,47,2023-09-27 3:30:28.100
423,866,34,1018,85,31.1,47,2023-09-27 3:30:32.100
419,867,34,1019,85,31.2,47,2023-09-27 3:30:36.100
421,868,35,1018,85,31.2,47,2023-09-27 3:30:40.100
421,867,34,1020,85,31.1,47,2023-09-27 3:30:44.100
419,869,36,1019,85,31.1,47,2023-09-27 3:30:48.100
420,865,36,1019,85,31.1,47,2023-09-27 3:30:52.100
421,866,35,1017,85,31.2,47,2023-09-27 3:30:56.100
422,865,37,1016,85,31.2,47,2023-09-27 3:31:00.100
422,867,35,1019,85,31.2,47,2023-09-27 3:31:04.100
421,866,35,1019,85,31.2,47,2023-09-27 3:31:08.100
419,867,33,1020,85,31.2,47,2023-09-27 3:31:12.100
420,865,37,1019,85,31.1,47,2023-09-27 3:31:16.100
420,868,33,1018,85,31.2,47,2023-09-27 3:31:20.100
422,864,38,1018,85,31.1,47,2023-09-27 3:31:24.100
422,865,38,1016,85,31.1,47,2023-09-27 3:31:28.100
420,868,35,1020,85,31.2,47,2023-09-27 3:31:32.100
420,868,33,1020,85,31.2,47,2023-09-27 3:31:36.100
419,869,33,1018,85,31.2,47,2023-09-27 3:31:40.100
421,865,37,1018,85,31.1,47,2023-09-27 3:31:44.100
421,865,36,1018,85,31.2,47,2023-09-27 3:31:48.100
422,865,38,1016,85,31.2,47,2023-09-27 3:31:52.100
421,864,37,1017,85,31.2,47,2023-09-27 3:31:56.100
421,868,34,1022,85,31.2,47,2023-09-27 3:32:00.100
421,867,37,1019,85,31.2,47,2023-09-27 3:32:04.100
423,868,36,1018,85,31.2,47,2023-09-27 3:32:08.100
420,870,33,1021,85,31.2,47,2023-09-27 3:32:12.100
420,869,35,1021,85,31.2,47,2023-09-27 3:32:16.100
421,869,35,1019,85,31.2,47,2023-09-27 3:32:20.100
421,869,33,1019,85,31.2,47,2023-09-27 3:32:24.100
420,869,36,1019,85,31.3,47,2023-09-27 3:32:28.100
422,865,37,1016,85,31.2,47,2023-09-27 3:32:32.100
421,869,35,1020,85,31.2,47,2023-09-27 3:32:36.100
420,869,35,1020,85,31.2,47,2023-09-27 3:32:40.100
420,869,36,1020,85,31.2,47,2023-09-27 3:32:44.100
420,869,33,1018,85,31.2,48,2023-09-27 3:32:48.100
418,868,33,1020,85,31.2,47,2023-09-27 3:32:52.100
420,867,34,1020,85,31.2,48,2023-09-27 3:32:56.100
422,866,37,1017,85,31.3,47,2023-09-27 3:33:00.100
423,867,37,1018,85,31.3,48,2023-09-27 3:33:04.100
419,868,34,1021,85,31.3,48,2023-09-27 3:33:08.100
423,866,35,1020,85,31.2,48,2023-09-27 3:33:12.100
421,867,36,1019,85,31.3,48,2023-09-27 3:33:16.100
421,866,38,1017,85,31.3,48,2023-09-27 3:33:20.100
420,868,34,1019,85,31.2,48,2023-09-27 3:33:24.100
422,868,35,1021,85,31.3,48,2023-09-27 3:33:28.100
420,867,34,1020,85,31.2,48,2023-09-27 3:33:32.100
422,867,39,1016,85,31.2,48,2023-09-27 3:33:36.100
421,866,38,1017,85,31.2,48,2023-09-27 3:33:40.100
421,869,35,1021,85,31.3,48,2023-09-27 3:33:44.100
419,868,34,1018,85,31.3,48,2023-09-27 3:33:48.100
420,867,34,1022,85,31.3,48,2023-09-27 3:33:52.100
419,868,33,1020,85,31.2,48,2023-09-27 3:33:56.100
420,868,37,1018,85,31.2,48,2023-09-27 3:34:00.100
421,868,36,1022,85,31.4,48,2023-09-27 3:34:04.100
422,865,37,1015,85,31.3,48,2023-09-27 3:34:08.100
421,865,38,1016,85,31.3,48,2023-09-27 3:34:12.100
422,866,38,1016,85,31.3,48,2023-09-27 3:34:16.100
424,864,38,1017,85,31.3,48,2023-09-27 3:34:20.100
420,868,33,1020,85,31.2,48,2023-09-27 3:34:24.100
421,867,33,1020,85,31.3,48,2023-09-27 3:34:28.100
421,867,38,1018,85,31.3,48,2023-09-27 3:34:32.100
422,865,38,1015,85,31.3,48,2023-09-27 3:34:36.100
420,869,33,1021,85,31.3,48,2023-09-27 3:34:40.100
423,868,34,1022,85,31.2,48,2023-09-27 3:34:44.100
421,868,38,1021,85,31.3,48,2023-09-27 3:34:48.100
420,867,34,1021,85,31.3,48,2023-09-27 3:34:52.100
421,867,35,1021,85,31.3,48,2023-09-27 3:34:56.100
419,870,34,1022,85,31.2,48,2023-09-27 3:35:00.100
420,869,35,1018,85,31.3,48,2023-09-27 3:35:04.100
421,870,33,1020,85,31.4,48,2023-09-27 3:35:08.100
424,865,40,1018,85,31.3,48,2023-09-27 3:35:12.100
421,866,37,1018,85,31.3,48,2023-09-27 3:35:16.100
423,866,35,1021,85,31.3,48,2023-09-27 3:35:20.100
420,870,34,1022,85,31.4,48,2023-09-27 3:35:24.100
422,865,39,1017,85,31.3,48,2023-09-27 3:35:28.100
422,867,37,1017,85,31.4,48,2023-09-27 3:35:32.100
423,866,34,1019,85,31.3,48,2023-09-27 3:35:36.100
423,866,39,1015,85,31.4,48,2023-09-27 3:35:40.100
422,867,36,1017,85,31.4,48,2023-09-27 3:35:44.100
422,865,38,1018,85,31.3,48,2023-09-27 3:35:48.100
422,866,38,1018,85,31.4,48,2023-09-27 3:35:52.100
421,867,34,1019,85,31.4,48,2023-09-27 3:35:56.100
422,865,40,1018,85,31.3,48,2023-09-27 3:36:00.100
